#{"t_start": 1654723625.664434, "env_id": null}
r,l,t
6.142857,16,0.228208
-26.0,26,87.811037
-19.5,13,87.898623
-23.5,21,88.031745
-18.5,11,88.106812
-22.5,19,88.245443
-64.5,101,88.321513
-64.5,101,88.321513
-64.5,101,88.431612
-29.0,32,88.468646
1.6428571,25,88.500675
8.571428,14,88.534706
-21.0,16,94.337383
-22.0,18,94.382425
-20.5,15,94.396437
-21.0,16,94.461497
-18.5,11,94.470504
7.642857,13,94.560586
13.5,7,94.616637
-20.0,14,101.257414
-64.5,101,101.350499
11.071428,9,101.415558
-64.5,101,101.675542
-64.5,101,101.734665
-19.0,12,101.821715
-64.5,101,101.969379
8.857142,22,101.976385
-22.0,18,102.914454
-23.0,20,102.936474
-64.5,101,102.949486
-18.5,11,103.013544
8.0,18,103.045574
14.285714,14,103.057584
-23.5,21,104.596517
-64.5,101,104.610538
1.5714283,28,104.647571
-19.5,13,104.695342
-33.5,41,104.70435
6.0,22,104.751393
-22.0,18,104.782421
-22.0,18,104.837471
4.642857,19,104.965587
6.9285717,23,105.147794
2.5714283,26,105.341133
-64.5,101,105.437287
-64.5,101,105.485339
-64.5,101,105.509365
-25.5,25,105.606475
-24.0,22,105.663537
6.9285717,23,105.761642
-22.5,19,105.785667
-24.0,22,105.89879
12.5,9,105.962411
-64.5,101,106.023466
-19.5,13,106.055495
-18.0,10,106.122556
-64.5,101,106.167596
2.9285717,31,106.364775
-20.0,14,106.463866
-64.5,101,106.463866
-20.0,14,106.550945
6.642857,15,106.557951
6.142857,16,106.665049
-64.5,101,106.69908
-25.5,25,106.730108
7.5714283,16,106.773147
-64.5,101,106.79917
-21.0,16,106.837205
-19.5,13,106.884255
6.9285717,23,107.038866
-26.0,26,107.212074
-21.0,16,107.332463
-64.5,101,107.381507
-64.5,101,107.468585
-64.5,101,107.548658
-21.0,16,107.669769
-32.0,38,107.676775
8.0,18,107.796884
-25.0,24,107.987057
-64.5,101,108.094153
1.5,31,108.223271
-64.5,101,108.242289
-19.0,12,108.354389
-64.5,101,108.462488
-24.0,22,108.606619
-64.5,101,108.841833
-64.5,101,108.972951
-64.5,101,109.081049
-31.0,36,109.11408
-22.0,18,109.198156
-18.5,11,114.003651
-64.5,101,114.059716
-20.0,14,114.154304
-25.0,24,114.334467
-64.5,101,114.434558
-19.0,12,114.434558
-64.5,101,114.571682
-64.5,101,114.753849
7.9285717,21,114.892974
-64.5,101,115.175231
-64.5,101,115.175231
-64.5,101,115.314358
5.714286,14,115.431464
-64.5,101,115.649661
2.7857141,37,115.690699
-22.0,18,115.775776
-21.5,17,115.812809
-64.5,101,115.909898
-64.5,101,115.909898
-23.5,21,115.924912
-21.0,16,116.024002
-64.5,101,116.526458
-64.5,101,116.633556
-64.5,101,116.647569
-17.5,9,116.698615
-19.5,13,116.747659
-64.5,101,116.755666
7.142857,14,116.854756
-24.0,22,116.862763
9.0,16,116.862763
-21.0,16,116.972864
-22.5,19,116.986877
5.8571424,28,117.048933
7.642857,13,117.130007
-64.5,101,117.229097
-21.0,16,117.333191
-64.5,101,117.62946
-64.5,101,117.643472
-17.5,9,117.701525
-64.5,101,117.803618
10.857142,18,117.830642
-3.0714283,43,117.918723
-21.0,16,117.931735
-64.5,101,118.009805
-20.5,15,118.026821
0.0,34,118.034828
-23.5,21,118.087876
6.5714283,18,118.144928
9.5,15,118.192972
-22.5,19,118.283053
10.5,13,118.292062
11.0,12,118.376138
-22.5,19,118.441196
14.857142,10,118.460215
-0.28571415,26,118.646383
6.5714283,18,118.789513
-64.5,101,118.789513
-64.5,101,118.797522
4.142857,20,118.946656
-26.5,27,118.986692
7.4285717,22,119.096774
6.4285717,24,119.158843
-64.5,101,119.188876
-18.5,11,119.262964
7.0,20,119.407127
-64.5,101,119.506235
-23.5,21,119.553278
-18.5,11,119.640357
-19.0,12,119.724433
-64.5,101,119.812514
-34.5,43,119.812514
-64.5,101,119.860558
-22.0,18,119.925616
-4.785714,35,119.944633
12.785714,17,120.031713
-20.5,15,120.131903
14.428572,8,120.185019
-64.5,101,120.456439
-64.5,101,120.5055
-18.0,10,120.569577
-64.5,101,120.590601
